dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2024-10-01","2024-10-02","2024-07-01T01:37:22Z","","439","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","中華人民共和國國慶日 (強制性公眾假期)","TRANSPARENT"
"2024-10-02","2024-10-03","2024-07-01T01:37:22Z","","438","","","","2023-04-04T03:01:34Z","","0","CONFIRMED","中華人民共和國國慶日翌日 (公眾假期)","TRANSPARENT"
"2024-10-11","2024-10-12","2024-07-01T01:37:22Z","","441","","","","2023-04-04T01:20:41Z","","0","CONFIRMED","重陽節 (強制性公眾假期)","TRANSPARENT"
"2024-11-02","2024-11-03","2024-07-01T01:37:22Z","","442","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","追思節 (公眾假期)","TRANSPARENT"
"2024-11-04","2024-11-05","2024-07-01T01:37:22Z","","451","","","","2023-04-04T02:57:39Z","","0","CONFIRMED","追思節的補假 (補假日)","TRANSPARENT"
"2024-12-08","2024-12-09","2024-07-01T01:37:22Z","","444","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","聖母無原罪瞻禮 (公眾假期)","TRANSPARENT"
"2024-12-09","2024-12-10","2024-07-01T01:37:22Z","","440","","","","2023-04-04T02:59:57Z","","0","CONFIRMED","聖母無原罪瞻禮的補假 (補假日)","TRANSPARENT"
"2024-12-20","2024-12-21","2024-07-01T01:37:22Z","","450","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","澳門特別行政區成立紀念日 (強制性公眾假期)","TRANSPARENT"
"2024-12-21","2024-12-22","2024-07-01T01:37:22Z","","445","","","","2023-04-04T02:35:06Z","","0","CONFIRMED","冬至 (公眾假期)","TRANSPARENT"
"2024-12-23","2024-12-24","2024-07-01T01:37:22Z","","449","","","","2023-04-04T03:04:27Z","","0","CONFIRMED","冬至的補假 (補假日)","TRANSPARENT"
"2024-12-24","2024-12-25","2024-07-01T01:37:22Z","","447","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","聖誕節前日 (公眾假期)","TRANSPARENT"
"2024-12-25","2024-12-26","2024-07-01T01:37:22Z","","448","","","","2023-04-03T09:22:28Z","","0","CONFIRMED","聖誕節 (公眾假期)","TRANSPARENT"
"2024-12-31T06:30:00Z","2024-12-31T09:45:00Z","2024-07-01T01:37:22Z","","458","","","","2023-04-04T07:46:15Z","","0","CONFIRMED","除夕 (豁免上班)","TRANSPARENT"
